text,quoted_text
b'Uma mulher feliz tomando uma ducha no meio do hor\xc3\xa1rio de trabalho \xf0\x9f\x91\x8d https://t.co/1JztR3hLmv',
"b'N\xc3\xa3o importa o que eu fa\xc3\xa7a, todos os emails que o Diego manda s\xc3\xa3o classificados como spam'",
"b'Se eu disse N\xc3\x83O \xc3\xa9 porque eu n\xc3\xa3o quero, ok? Eu n\xc3\xa3o vou mudar de ideia drasticamente ap\xc3\xb3s voc\xc3\xaa insistir, pelo contr\xc3\xa1r\xe2\x80\xa6 https://t.co/A4xsu9wOFY'",
b'Eu vejo muito relato de gente dizendo que instrutor de carro \xc3\xa9 muito grosso e eles at\xc3\xa9 gritam se vc fizer algo erra\xe2\x80\xa6 https://t.co/ktlyHcfpAb',
"b'Voc\xc3\xaa que \xc3\xa9 ha gata me responda, voc\xc3\xaa gosta de roncador? \n\n\xe2\x80\x94 Ah ent\xc3\xa3o agora a senhora j\xc3\xa1 resolveu admitir publicamen\xe2\x80\xa6 https://t.co/gfeezD2wKB'",
b'Eu n\xc3\xa3o acredito que meu anivers\xc3\xa1rio t\xc3\xa1 t\xc3\xa3o perto. A crise de identidade j\xc3\xa1 come\xc3\xa7ou',
"b'Eu tenho a habilidade de me machucar sem perceber, s\xc3\xb3 noto quando vejo sangue nas minhas coisas'",
b'Bicho eu t\xc3\xb4 pingando de suor. Aula de moto no sol \xc3\xa9 tenso demais',
b'Absolutamente viciada em Giveon',
b'Quem \xc3\xa9 o CORNO que vem colocar fogo no mato num calor desse? Eu vou gastar meu r\xc3\xa9u prim\xc3\xa1rio',
b'https://t.co/MmJ0iUvGIQ',
b'Eu: a\nQualquer homem desconhecido na internet: NOSSA MAS VOC\xc3\x8a \xc3\x89 HA GATA MESMO HEIN HAHAHAHA ALGU\xc3\x89M J\xc3\x81 FEZ ESSA PIADA OU FUI O PRIMEIRO????',
"b'Querida segunda-feira, por favor, venha com carinho. N\xc3\xa3o estou preparada para responsabilidades da vida profissiona\xe2\x80\xa6 https://t.co/27xpskOJY4'",
b'Aqui estava eu tentando programar o despertador na calculadora do celular \xf0\x9f\x91\x8d',
b'[4/10 15:14] Gabi \xe2\x9d\xa4: Eu j\xc3\xa1 ouvi uns trem de mulher que tem ORGASMO de mais de DUAS HORAS\n[4/10 15:14] Gabi \xe2\x9d\xa4: Eu ia\xe2\x80\xa6 https://t.co/wuB70LMhZK',
b'Absoluta paz de esp\xc3\xadrito ouvindo o Nil roncar',
b'[3/10 17:48] Hagata: Exercite sua imagina\xc3\xa7\xc3\xa3o\n[3/10 17:49] Hagata: Crie um homem pra cada erro que voc\xc3\xaa cometer\n[3/1\xe2\x80\xa6 https://t.co/qYPA5XnH1o',
"b'O boy fazendo p\xc3\xa3o de queijo pra mim, me sinto uma princesa'",
"b'Aprendi que quando a gabi fala que vai tomar um sorvete n\xc3\xa3o \xc3\xa9 um sorvetinho normal. Ela compra um pote de 5 litros,\xe2\x80\xa6 https://t.co/vPgeL5OyBW'",
b'Amiga n\xc3\xa3o beije este homem ele \xc3\xa9 estudante de medicina na empresa m\xc3\xa9dico \n\nE ele vai comprar p\xc3\xa3o de jaleco',
b'Hoje eu dirigi muito bem. Eu sou t\xc3\xa3o motoqueira \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c',
"b'Nossa, a mina caiu muito feio, tadinha'",
b'T\xc3\xb4 achando que vou pegar meu telesc\xc3\xb3pio e foda-se minha noite de sono',
"b'o c\xc3\xa9u t\xc3\xa1 incr\xc3\xadvel. Incr\xc3\xadvel, incr\xc3\xadvel, incr\xc3\xadvel.'",
b'Atordoada com pensamentos sexuais \xc3\xa0s 17:15 - 37\xc2\xbaC',
b'Tem gente intrigando entre Brahma e Heineken \n\nTraz uma caixa das duas aqui pa m\xc3\xa3e que eu te digo qual a melhor',
b'Eu N\xc3\x83O CONSIGO TRABALHAR com 37 graus. A minha casa \xc3\xa9 QUENTE',
"b'Sim, eu amo farinha \nBote farinha em tudo, viado'",
"b'N\xc3\xa3o gosto de brava, gosto de braba. \xc3\x89 muito mais legal'",
b'Eu fico muito constrangida quando ex-alunos me param em lugares porque eu raramente lembro o nome deles\n\nHoje na mo\xe2\x80\xa6 https://t.co/WaHlANNVwA',
b'O erro da jovem intensa \xc3\xa9 querer tudo ao mesmo tempo',
b'Ah n\xc3\xa3o vei eu ADORO v\xc3\xaddeo de porquinhos e patinhos\n\nEu vou EXPLODIR',
b'Me sinto t\xc3\xa3o feia no calor. Parece que no frio eu sou muito mais aceit\xc3\xa1vel',
b'Esque\xc3\xa7a essas frases motivacionais vazias. Outubro n\xc3\xa3o vai te trazer NADA. Voc\xc3\xaa \xc3\xa9 quem pode te trazer tudo aquilo q\xe2\x80\xa6 https://t.co/XFt3vLnx3y',
b'Especialista na arte de procrastinar',
b'Minha parte preferida do dia \xc3\xa9 quando o sol vai embora',
b'Pra gostar de mim tem que aceitar que eu sou p\xc3\xa9ssima em flertar online',
b'[1/10 17:15] Lynda \xe2\x9d\xa4: pensei meu deus\n[1/10 17:15] Lynda \xe2\x9d\xa4: A Hagata usou o quizz pra expor podre de algu\xc3\xa9m\n[1/10 1\xe2\x80\xa6 https://t.co/sdlPlOeQdn',
b'Vi isso aqui e me identifiquei\n\nN\xc3\xadvel de autoestima: Mano ser\xc3\xa1 que ele disse que eu sou gostosa por d\xc3\xb3?',
b'Bom dia Billie Joe',
"b'Ok, j\xc3\xa1 foram 9 aulas de moto. Agora me restam 11'",
b'Se tem um bicho que eu DETESTO \xc3\xa9 barata. Mas detesto mesmo',
"b'Ol\xc3\xa1, outubro. Espero que voc\xc3\xaa seja gentil'",
b'Sou gada',
"b""Estou numa maratona de figurinhas com umas 5 pessoas and i think that's beautiful""",
b'Pronto acabei esta BOSTA meu chat est\xc3\xa1 liberado para uma maratona de figurinhas de car\xc3\xa1ter duvidoso',
"b'Eu t\xc3\xb4 escrevendo um trabalho de 15 p\xc3\xa1ginas, quando acabar por favor algu\xc3\xa9m esteja a disposi\xc3\xa7\xc3\xa3o pra trocar figurinha\xe2\x80\xa6 https://t.co/JhnBkFZ5C6'",
b'Gente que pregui\xc3\xa7a disso kkkkkkkkkkkkkkkkmmmm',
b'A sensa\xc3\xa7\xc3\xa3o constante de que todo mundo me odeia',
b'Eu a\xc3\xad. Nenhum homem v\xc3\xaa meus nudes mas o grupinho rivotril v\xc3\xaa https://t.co/wGTkfE6jZT',b'Zero contatinhos mas mantendo os nudes em dia pois minha melhor amiga merece receb\xc3\xaa-los com frequ\xc3\xaancia'
b'Se eu estudar mais 10 minutos nesse calor eu vou EXPLODIR.\n\nMas infelizmente preciso fazer esse trabalho',
b'Olha um tanto de cotonete https://t.co/McCraXshDS',b'https://t.co/WtAaVQyZME'
"b'Minha m\xc3\xa3e mima demais meu irm\xc3\xa3o, eu n\xc3\xa3o guento'",
b'Vou come\xc3\xa7ar a colocar as minhas calcinhas no congelador',
b'Se vcs acham que a fam\xc3\xadlia de voc\xc3\xaas \xc3\xa9 alco\xc3\xb3latra \xc3\xa9 porque nunca viram meus bisav\xc3\xb4s bebendo PERFUME porque n\xc3\xa3o tinha cacha\xc3\xa7a',
b'Beleza sol j\xc3\xa1 entendemos\nVc j\xc3\xa1 fez seu ponto\nAgora pode ir embora',
"b'Sinto que sempre me relacionei com pessoas que diziam gostar de mim, mas que nunca se interessaram por mim de verda\xe2\x80\xa6 https://t.co/VvUq1qBu5M'",
b'Eu tenho mania de curtir os trem no insta duas vezes porque eu esque\xc3\xa7o que j\xc3\xa1 tinha curtido. A\xc3\xad as pessoas pensam q\xe2\x80\xa6 https://t.co/knhHunnIwM',
b'Bom dia gostosos',
b'Eu devia estar dormindo mas t\xc3\xb4 rindo muito de trem idiota da internet',
b'Rt pra acompanhar https://t.co/s9MyhgUEiL',
b'Meta https://t.co/JNZGHKkpzl',b'T\xc3\xa1 quente pra caralho hoje e eu s\xc3\xb3 pensando no quanto queria tomar um banho gelado e deitar em cima da minha mulher\xe2\x80\xa6 https://t.co/5tCggwhJOn'
"b'Qual a posi\xc3\xa7\xc3\xa3o preferida pra dormir com algu\xc3\xa9m? \n\n\xe2\x80\x94 Eu acho conchinha uma del\xc3\xadcia, mas tamb\xc3\xa9m adoro olhar o rosto d\xe2\x80\xa6 https://t.co/3IYotjSFst'",
b'Qual cerveja vc bebe? \n\n\xe2\x80\x94 Qualquer uma que estiver gelada hahahsh\n\nhttps://t.co/lpxvjSYPEt',
b'Eu sou p\xc3\xa9ssima em me comunicar a dist\xc3\xa2ncia',
b'Cansei do meu nome aqui como hagatinha',
b'Fa\xc3\xa7am esse teste\n\nhttps://t.co/D1OJ0c4viW',
b'Estou h\xc3\xa1 15min sentada s\xc3\xb3 de calcinha nesse calor sem perspectiva de vida',
"b'acho que o quiz do rivotril t\xc3\xa1 velho, tenho que fazer outro'",
b'F\xc3\xa9 nas maluca \xc3\xa9 o cacete. F\xc3\xa9 nas fofinhas safadas',
"b'Acho bizarro o jeito que as pessoas tentam for\xc3\xa7ar uns trem a acontecer. J\xc3\xa1 tive essa fase tamb\xc3\xa9m, viu? Mas \xc3\xa9 que ve\xe2\x80\xa6 https://t.co/TME7IwSgE7'",
b'Nem alimento mais essas esperan\xc3\xa7as https://t.co/C1OhmBwb0u',b'imagina.....ficar.....boiola.....por.....algu\xc3\xa9m.....e.....ser.....rec\xc3\xadproco.....'
b'Bom dia quentinho',
b'Girafas s\xc3\xa3o sim insetos e eu POSSO provar',
b'Uma pena n\xc3\xa3o ter como entregar uma sess\xc3\xa3o de terapia por ifood',
"b'Meu happy place \xc3\xa9 um happy hour num motel com todos os meus amigos. Edu de cabelo rosa fumando um, ana no pole danc\xe2\x80\xa6 https://t.co/OexQSkwUOt'",
b'Eu acho que o calor ta queimando meus neur\xc3\xb4nios. Eu t\xc3\xb4 rindo de qualquer coisa',
b'Que calor meu deus',
b'Menos de 10 dias pra entregar o trabalho final da disciplina e eu nem comecei',
"b'Sim, eu sou \xc3\xb3tima de cama. Eu consigo dormir 12hrs seguidas tranquilamente se eu estiver confort\xc3\xa1vel e sem trampo pra me preocupar'",
b'Ser\xc3\xa1 que existe abelha triste sendo que elas podem ficar l\xc3\xa1 se esfregando nas florzinhas? Acho que n\xc3\xa3o pode ter pro\xe2\x80\xa6 https://t.co/2CQtgwGfaW',
b'Vou te fazer uma visita surpresa kkkkk \n\n\xe2\x80\x94 Se for uma pessoa indesejada eu vou te deixar apodrecer no port\xc3\xa3o &lt;3\n\nhttps://t.co/3ITFZK4DJ4',
b'Quantos litros de caf\xc3\xa9 e quantas carreiras de coca\xc3\xadna eu preciso pra fazer os trabalhos da faculdade sorrindo?',
"b'Porra!! Kkkkkkk ""... me lembra minha m\xc3\xa3e...""\n \xe2\x80\x94 Aah t\xc3\xa1 KKKKKKKK\n https://t.co/a2Z1R9hOp8'",
b'Eu li um trem falando que essa semana pode bater recorde de temperatura kkkkkkkk gente eu vou MORRER',
b'Se n\xc3\xa3o me quis quando eu n\xc3\xa3o era gostosa e andava de \xc3\xb4nibus n\xc3\xa3o vai me ter agora que eu ainda n\xc3\xa3o sou t\xc3\xa3o gostosa mas ando de moto',
b'Oi gente hoje eu evolui mais um ponto nas aulas de moto. Aparentemente o projeto motoqueira 2020 pode dar certo sim',
b'Acordar cedo uma vez na semana \xc3\xa9 \xc3\xb3timo. O problema \xc3\xa9 quando isso vira rotina',
b'Gente pq vcs namoram pra passar raiva? Todo dia sempre aparece aq na tl algum drama de relacionamento em que ambos\xe2\x80\xa6 https://t.co/mbrjuJS2dL',
b'Agora j\xc3\xa1 posso ir dormir. Preparar meu corpinho pro baque capitalista da segunda-feira',
"b'O jeito que voc\xc3\xaa fala ""tem que apanhar at\xc3\xa9 virar gente"" me lembra minha, mt freudiano! \n\n\xe2\x80\x94 Te lembra sua o que? Ahu\xe2\x80\xa6 https://t.co/ighwfjIzSC'",
b'Amanh\xc3\xa3 eu tenho aula de dire\xc3\xa7\xc3\xa3o 6:30 da manh\xc3\xa3',
b'N\xc3\xa3o d\xc3\xa1 pra me fazer visita surpresa\n\nSe voc\xc3\xaa me fizer uma visita surpresa provavelmente vai me encontrar na cama s\xc3\xb3\xe2\x80\xa6 https://t.co/uBbTO6YXdo',
b'Eu tenho diversos tipos de amigos. O Levi \xc3\xa9 o amigo que sabe de 80% dos detalhes da minha vida sexual. A gente s\xc3\xb3 s\xe2\x80\xa6 https://t.co/g3uA6bPrPn',
"b'T\xc3\xb4 sentindo um vazio, acho que \xc3\xa9 falta de mais umas 5 tatuagens'",
"b'Tomei outro banho, agora j\xc3\xa1 estou fresquinha. Posso comer um lanch\xc3\xa3o, assistir alguma com\xc3\xa9dia e dormir'",
b'Molho \xc3\xa1 campanha \xc3\xa9 O CARALHO \n\nPra come\xc3\xa7ar isso nem \xc3\xa9 um molho. Se voc\xc3\xaa fala assim voc\xc3\xaa te que apanhar at\xc3\xa9 virar gente. \xc3\x89 VINAGRETE',
b'Quantos banhos gelados eu vou ter que tomar at\xc3\xa9 parar de sentir a minha pele DERRETER',
b'Estou molhada https://t.co/z4rAyJcero',b'Vice de hoje: Rodrigo Hilbert (@RodrigoHilbert) https://t.co/hzpgS9ZtkL'
b'Eu t\xc3\xb4 rindo muito lembrando que teve uma hora no rol\xc3\xaa que viraram pra mim do nada e disseram: MAS VOC\xc3\x8a SERIA UMA GR\xc3\x81VIDA LINDA',
"b'Eu sou contra bater em pessoas, exceto se for nazista, estuprador e norte-americano'",
"b'COMO voc\xc3\xaas podem gostar desse calor infernal? \xc3\x89 \xc3\xb3timo uma vez ou outra, mas todo dia pqp'",
b'Hoje eu t\xc3\xb4 s\xc3\xb3 na aguinha disfar\xc3\xa7ando que eu n\xc3\xa3o sou uma b\xc3\xaabada de ressaca',
"b'Bom dia, ali\xc3\xa1s. Hoje eu t\xc3\xb4 toda desengon\xc3\xa7ada'",
b'Ontem eu conheci pessoas muito legais',
b'Plena chegando em casa agora',
b'Que bel\xc3\xadssima hora pra receber VISITAAAAAAAAAAAAA\n\nAAAAAAAAAAAAA\ncrying out loud',
"b'Unha feita, cabelo pintado, depiladah e pele hidratada. Isso tudo pra qu\xc3\xaa? Isso mesmo, ficar em casa sozinha e b\xc3\xaabada'",
b'Eu passo mal de rir toda vez que vejo as fotos do rol\xc3\xaa no London com a Lynda e a bianca',
"b'Sobre essa temporada de lucifer: vai tomar no cu\n\nT\xc3\xb4 pegando ran\xc3\xa7o da Maze. Vai se fuder fia, sua car\xc3\xaancia sempre e\xe2\x80\xa6 https://t.co/txBocS7d2m'",
"b'Pronto, t\xc3\xb4 menos revoltada hoje. Bom dia'",
b'Algumas sextas n\xc3\xa3o s\xc3\xa3o felizes nem tristes; s\xc3\xa3o sextas. A pior parte da monotonia da quarentena \xc3\xa9 isso: ficar parad\xe2\x80\xa6 https://t.co/fUzLWcljMk',
b'Oficialmente desisti',
"b'Eu tava feliz, mas agora eu t\xc3\xb4 triste'",
b'Eu t\xc3\xb4 apaixonada na minha depiladora',
b'Hoje \xc3\xa9 aquele dia em que eu queria que alguma coisa extraordin\xc3\xa1ria e muito boa acontecesse pra me tirar dessa monot\xe2\x80\xa6 https://t.co/bMkaHapih1',
b'Me desculpa mas as m\xc3\xbasicas desse vit\xc3\xa3o s\xc3\xa3o ruins demais\nPqp',
b'Levar uma surra durante a foda de 2hrs: \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x98\x80\xf0\x9f\x91\x90\xe2\x9c\x8c\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\n\n10min depilando na cera: \xf0\x9f\x98\xad\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xb2\xf0\x9f\x98\xb2\xf0\x9f\x98\xa2\xf0\x9f\x98\xb2\xf0\x9f\xa4\x92\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb3\xf0\x9f\x98\xb5\n\nSenhor me d\xc3\xaa for\xc3\xa7as',
"b'Se voc\xc3\xaa quiser, eu posso beber com voc\xc3\xaa no seu anivers\xc3\xa1rio hehe \n\n\xe2\x80\x94 Tentador\n\nhttps://t.co/jXKvyg3L1e'",
b'Humm que vontade de fazer algo de car\xc3\xa1ter duvidoso',
b'Oi gente eu ainda t\xc3\xb4 p\xc3\xa9ssima em andar de moto',
b'Eu ainda n\xc3\xa3o t\xc3\xb4 acreditando que vou ficar b\xc3\xaabada sozinha no meu anivers\xc3\xa1rio',
b'Hoje eu vou me comportar e n\xc3\xa3o postar porcaria aqui. Mas s\xc3\xb3 o universo sabe as atrocidades sexuais que t\xc3\xb4 pensando',
b'Queria transar violento e depois dormir fofo',
b'Comprei um biqu\xc3\xadni',
b'Se n\xc3\xa3o tivesse o nome da pessoa eu teria ctz que foi o @peres_matheus1 q escreveu isso aqui https://t.co/bAxsMknWkB',
b'Tirei um cochilo de tarde e sonhei que tava namorando meu ex em um pa\xc3\xads africano',
"b'Tem v\xc3\xa1rios homens bonitos dando em cima de mim, vou passar o contato de todos pras minhas amigas que gostam de homem bonito'",
b'Tipos de homens que as minhas amigas gostam:\n\nLarissa: delinquente de pau grande\nLynda: padraozinho\nThauane: Igor\nA\xe2\x80\xa6 https://t.co/97c8u1Vywm',
b'Oi gente espero n\xc3\xa3o cair da moto hoje\n\nBeijos bom dia',
b'qual a parte q vc considera mais bonita no seu corpo? \n\n\xe2\x80\x94 Seios \n\nhttps://t.co/dTlNOClWPs',
b'sou apaixonada em vc desde seu cosplay de jutsu sexy na catsu de 2015 \n\n\xe2\x80\x94 Nu KKKKKKKKKKKKKK isso foi bem espec\xc3\xadfico\n\nhttps://t.co/ldk3DmDO0W',
"b'sdds daquele dia que fomos todos pro clube com a lynda dirigindo. Compramos um tanto de salgadinhos, cerveja e suco\xe2\x80\xa6 https://t.co/sU8AdLgvIp'",
b'Gente olha o tamanho do meu cabelo https://t.co/LXzuXO3zqP',
b'Lista de pessoas que eu j\xc3\xa1 encontrei no tinder e n\xc3\xa3o soube como proceder:\n\n1. Meu pai\n2. Carlos\n3. 50% do curso de sociais\n4. Meu ex chefe',
b'Achei o Carlos no tinder',
b'Que saudade desses rolessssss',
"b'Eu t\xc3\xb4 aqui lembrando o dia que eu estava chapad\xc3\xadssima comendo um Subway, o Carlos tava transando com uma guria no q\xe2\x80\xa6 https://t.co/sDuiJEmZee'",
"b'An\xc3\xa9m, pra q uma porcaria dessa t\xc3\xa1 no meu feed? N\xc3\xa3o guento'",
b'Agora que eu reinstalei o Tinder eu t\xc3\xb4 lembrando o motivo de ter desinstalado\n\n\xc3\x89 que s\xc3\xb3 tem mulher gostosa. Eu me s\xe2\x80\xa6 https://t.co/zKxKR2vON5',
b'Minha m\xc3\xa3e acabou de fazer doce de leite. Esse trem feito na hora \xc3\xa9 outro n\xc3\xadvel',
b'Voc\xc3\xaas j\xc3\xa1 choraram de tes\xc3\xa3o? Eu j\xc3\xa1',
b'Eu n\xc3\xa3o acredito que haja pessoas que realmente acreditam que a Tenten podia selar o Madara kkkkkkkkkkkkkkkkkkkkkkkk\xe2\x80\xa6 https://t.co/4QNH2twx0g',
b'Bicho eu fiz aula de moto na chuva e eu dirigi muito bem eu t\xc3\xb4 T\xc3\x83O orgulhosa',
b'AKKKKKKKKKKKKK https://t.co/HDrH0Tgl7M',b'\xf0\x9f\x92\x99\xe2\x9d\xa4\xf0\x9f\x94\xaa\n#AmongUs https://t.co/l0IGhrolne'
b'Eu ap\xc3\xb3s comer uma pizza sozinha:\n\n[20/9 23:44] Hagata: Esse final de semana eu fiz a dieta do mamute. Enfiei tudo q\xe2\x80\xa6 https://t.co/J8P9aX5DfX',
"b'Bom, \xc3\xa9 isso. Recebi uma intima\xc3\xa7\xc3\xa3o e t\xc3\xb4 at\xc3\xa9 agora sem entender.\n\nAparentemente estou sendo PROCESSADA e preciso comp\xe2\x80\xa6 https://t.co/TFswp3JTYZ'",
b'Oi gostosos desta rede https://t.co/vJMLMP7EHk',
"b'Problema resolvido, j\xc3\xa1 estou b\xc3\xaabada de novo'",
b'Por que t\xc3\xa1 todo mundo fazendo tanto drama comigo?',
b'Ok acordei s\xc3\xb3bria',
"b'Muito bom quando umas pessoas do passado fazem uns trem pra tentar te atingir, mas voc\xc3\xaa s\xc3\xb3 pensa ""puts, nem me impo\xe2\x80\xa6 https://t.co/NEBvTwaaZA'",
b'Eu bebada s\xc3\xb3 passo vergonha',
"b'Ok, agora eu realmente ultrapassei os limites de bebada'",
"b'Pronto, Enchi meu cu de cacha\xc3\xa7a como eu queria e fiz todos os procedimentos pra ficar uma grande gostosa \nAgora posso dormir'",
b'At\xc3\xa9 agora a Ousadia de lim\xc3\xa3o foi a minha preferida',
b'Eu n\xc3\xa3o pintava o cabelo desde mar\xc3\xa7o. Estou me sentindo uma grande gostosa',
b'Cola a\xc3\xad \n\nhttps://t.co/ANpRtaq6T0',
b'T\xc3\xb4 muito b\xc3\xaabada',
b'Fiz a live falando sobre p\xc3\xa3o e amor',
b'Depila\xc3\xa7\xc3\xa3o ok\nCabelo ok\nUnha ok\nAgora vou terminar a unha pra acabar de ficar uma grande gostosa \n\nHoje eu t\xc3\xb4 que t\xc3\xb4',
"b'Pintei o cabelo, agora estou fazendo as unhas'",
b'Oi gente hoje eu n\xc3\xa3o ca\xc3\xad da moto nenhuma vez',
"b'\xc3\x93timo, s\xc3\xb3 faltam 499 coisas pra fazer hoje'",
b'Eu vou me expor agora porque eu lembrei de um trem. \xc3\x89 um breve conselho para toda a galera que gosta de pau:\n\n- tod\xe2\x80\xa6 https://t.co/hjoRzIvctX',
b'Minha vida \xc3\xa9 cheia de monobola',
"b'Ali\xc3\xa1s, amanh\xc3\xa3 meu dia t\xc3\xa1 lotado. Tenho autoescola, tenho que dar aula, tem live liter\xc3\xa1ria minha, trabalho, skin care agendado....'",
"b'Pronto, comi meus p\xc3\xa3o de alho e minha carne assada \nAgora posso dormir em paz.  Amanh\xc3\xa3 as aulas da autoescola voltam.'",
b'Hoje eu vou comer 2kg de p\xc3\xa3o de alho e encher meu cu de cacha\xc3\xa7a',
b'Sua opini\xc3\xa3o seria super v\xc3\xa1lida se eu n\xc3\xa3o soubesse que voc\xc3\xaa \xc3\xa9 um babaca abusivo \xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xf0\x9f\x91\x8c',
"b'lindo \xc3\xa9 o meu omelete de forno com cheddar e batata, voc\xc3\xaa \xc3\xa9 no m\xc3\xa1ximo bonitinho https://t.co/bPOHF2jAe3'",
"b'Exatamente 1 m\xc3\xaas pro meu anivers\xc3\xa1rio. Como n\xc3\xa3o d\xc3\xa1 pra reunir, espero que vcs mandem entregar cerveja aqui em casa. Anotem a\xc3\xad'",
b'COMO pode ser normal tanto sangue sair de mim?????? COMO PODE ESTAR TUDO BEM????',
b'Que \xc3\xb3timo. N\xc3\xa3o consigo parar de chorar',
"b'Que dor, meu deus \nA fic\xc3\xa7\xc3\xa3o devia ser menos dolorosa'",
b'Estou vendo esse filme pela vig\xc3\xa9sima vez. Voc\xc3\xaas n\xc3\xa3o fazem ideia do quanto eu t\xc3\xb4 chorando. T\xc3\xb4 solu\xc3\xa7ando',
b'Vou chorar sozinha assistindo algum filme de romance',
"b'Chega o dia de menstruar e eu viro esse monstro. T\xc3\xb4 feia, brava, triste, me sentindo sozinha e insuficiente'",
b'Que bom que eu consegui resolver uns trem do ano passado pra c\xc3\xa1',
b'J\xc3\xa1 bebi',
b'Beijinho \xc3\xa9 o melhor doce',
b'Klaus https://t.co/2HADsajSlu',b'se vcs pudessem transar com um personagem da fic\xc3\xa7\xc3\xa3o com quem vcs transariam? vi essa pergunta e to pensando ha hora\xe2\x80\xa6 https://t.co/d417hJL0IP'
